year,title,description
1995,Gordy ,"A piglet named Gordy lives a happy life on Meadow Brook Farm somewhere near Hope, Arkansas. However, after the farmer goes bankrupt, he is forced to sell everything, starting with Gordy's family. Two men arrive in a truck to take Gordy's father, but Gordy is alerted of this by Richard, the rooster of the farm. He tries to stop his father from leaving by following the truck taking him, but he tells him to go home and look after his family. When he returns he finds that they were taken in another truck while he pursued his father. Determined to locate them and return to the farm, he sets out alone to find them. He eventually ends up in the care of Jinnie Sue McAllister, a young country singer who lives in a camper van with her father, Luke, and their ""manager"", Cousin Jake. She, not knowing Gordy's name, calls him Pinky.
They travel to a dinner party, where Luke performs for the governor of Arkansas. Also there is rich businessman named Henry Royce; his daughter, Jessica; her rather dull but scheming fiancé, Gilbert Sipes; and her lonely young son, Hanky. Hanky wanders off on his own and meets Gordy and Jinnie Sue. He falls into the swimming pool, but can't swim. Just as Jinnie Sue rushes off to get help, Gordy dives into the pool with an inflatable tube, and saves Hanky. Due to his bravery, he is given to Hanky as a pet, and also becomes suddenly famous.
Henry and Gilbert have alternate decisions on who the new mascot of the Royce Company should be: Gordy or Jessica. In the end, Gordy wins, due to a switched camera lens used on Jessica's promotion. Gilbert is determined to remove Gordy and then take control of the company. He sends his henchmen, Dietz and Krugman, to kidnap Gordy, but he and Hanky escape by boarding a school bus, which Dietz and Krugman pursue. On the way, they are distracted briefly by a cross-dressing thief, and discover that Gordy and Hanky have escaped onto a feeding truck. They unexpectedly meet up with the McAllisters, who learn from the radio that Hanky has apparently run away. Another bulletin follows, revealing Henry has died of a heart attack. The McAllisters return Hanky and Gordy to the Royce building in St. Louis, Missouri where an attorney reveals Henry has left his company to them.
Cousin Jake, upon learning Gordy's family is missing, organizes a giant countrywide search to locate them and also a country music concert in Branson, Missouri in Gordy's name. Jim Stafford, Moe Bandy, Boxcar Willie, Cristy Lane, Buck Trent, and Mickey Gilley perform, as well as a surprise speech from President Bill Clinton (voiced by Jim Meskimen), who unveils a new stamp of Gordy. Gilbert sends Dietz and Krugman to kidnap Gordy, tie him in a sack, and toss him in a river, but he is saved by Cousin Jake, who returns him to Hanky and Jinnie Sue. Everyone learns from someone who calls into the telethon that his family is going to be slaughtered at an unidentified slaughterhouse in Nebraska. Gilbert tries to hide the fact that it's owned by the Royce family. However, a battle ensues between him and Luke, with Jessica and Luke knocking him out with the suitcase of Brinks, the family attorney. Gordy, Hanky, Jinnie Sue, Jessica, Luke, Cousin Jake, and Brinks race to stop the slaughterhouse from killing Gordy's family, but a train slows them down. Hanky successfully rings the lovestruck supervisor, and the slaughterhouse is shut down just in time. To Gordy's happiness, his family has survived, and he is reunited with his father, who was also about to be killed at the slaughterhouse. The pigs are moved back to the farm, which Luke and Jessica decide to buy with most of the Royce Company profits; they marry and Hanky, Jinnie Sue, and Cousin Jake move in too. Gordy and his family are finally reunited."
1995,Gumby: The Movie ,"When the Blockheads' E-Z Loan company threatens to take away the farms belonging to the small farmers due to being unable to make their loan payments, Gumby and his band, the Clayboys, decide to have a benefit concert to save the farms. But when the evil Blockheads find out that Gumby's dog, Lowbelly, cries pearls when he sees the Clayboys perform, they decide to kidnap Lowbelly and force him to cry pearls (initially unaware that Lowbelly was only crying whenever Gumby changed his shape). Lowbelly doesn't respond to the Blockheads' initial attempt, but the Blockheads subsequently are informed by computer analysis that they need Gumby to extract the pearls, so they kidnap Gumby and the Clayboys in order to create robotic clones of them.
With the help of Pokey, Prickle, Goo, fans Tara and Ginger, and talent agent Lucky Claybert, Gumby takes on his robot clone and is still in time for his videotaping session in agreement with Claybert. At a picnic, Gumby announces that he's opening his own farm-centered loan company that will give reasonable loans for its customers. The Blockheads are forced to weed Gumby's garden as punishment, and Gumby and best friend Pokey decide that things are looking up for them as they head back to outer space."
1994,Heavenly Creatures ,"In 1952 Christchurch, an affluent 13-year-old English girl Juliet Hulme befriends a 14-year-old girl from a working-class family, Pauline Parker, when Juliet transfers to Pauline's school. They bond over a shared history of severe childhood disease and isolating hospitalizations, and over time develop an intense friendship. Pauline admires Juliet's outspoken arrogance and beauty.
Together they paint, write stories, make plasticine figurines, and eventually create a fantasy kingdom called Borovnia. It is the setting of the adventure novels they write together, which they hope to have published and eventually made into films in Hollywood. Over time it begins to be as real to them as the real world.
Pauline's relationship with her mother Honora becomes increasingly hostile and the two fight constantly. This angry atmosphere is in contrast to the peaceful intellectual life Juliet shares with her family. Pauline spends most of her time at the Hulmes', where she feels accepted. Juliet introduces Pauline to the idea of ""the Fourth World"", a Heaven without Christians where music and art are celebrated. Juliet believes she will go there when she dies. Certain actors and musicians have the status of saints in this afterlife, such as singer Mario Lanza, with whom both girls are obsessed.
During a day trip to Port Levy, Juliet's parents announce that they are going away and plan to leave Juliet behind. Her fear of being left alone makes her hysterical, culminating in her first direct experience of the Fourth World, perceiving it as a land where all is beautiful and she is safe. She asks Pauline to come with her, and the world that Juliet sees also becomes visible to Pauline. This is presented as a shared spiritual vision, a confirmation of their ""Fourth World"" belief, that influences the girls' predominant reality and affects their perception of events in the everyday world.
Juliet is diagnosed with tuberculosis and is sent to a clinic. Pauline is desolate without her, and the two begin an intense correspondence, writing not only as themselves, but in the roles of the royal couple of Borovnia. During this time Pauline begins a sexual relationship with a lodger, which makes Juliet jealous. For both of them, their fantasy life becomes a useful escape when under stress in the real world, and the two engage in increasingly violent, even murderous, fantasies about people who oppress them. After four months, Juliet is released from the clinic and their relationship intensifies. Juliet's father blames the intensity of the relationship on Pauline and speaks to her parents, who take her to a doctor. The doctor suspects that Pauline is homosexual and considers this a cause of her increasing anger at her mother as well as her dramatic weight loss.
Juliet catches her mother having an affair with one of her psychiatric clients and threatens to tell her father, but her mother tells her he already knows. Shortly afterward, the two announce their intention to divorce, upsetting Juliet. Soon it is decided that the family will leave Christchurch, with Juliet to be left with a relative in South Africa. She becomes increasingly hysterical at the thought of leaving Pauline, and the two girls plan to run away together. When that plan becomes impossible, the two share a bathtub and talk about murdering Pauline's mother as they see her as the primary obstacle to their being together.
As the date of Juliet's departure nears, it is decided that the two girls should spend the last three weeks together at Juliet's house. At the end of that time, Pauline returns home and the two finalize plans for the murder. Honora plans a trip for the three of them to Victoria Park, and the girls decide this will be the day. Juliet conceals a broken piece of brick in her bag and Pauline places it into an old stocking before departing on the trip. After having tea, the three walk on a path down a steep hillside. When Honora bends over to pick up a pink charm the girls have deliberately dropped, Juliet and Pauline bludgeon her to death with the brick.
A post-script states that Pauline and Juliet were arrested shortly after the murder; that, as the girls were too young to face the death penalty, both were sentenced to serve five years in prison; that they were released separately in 1959; and that it was a condition that they never see one another again."
1994,Houseguest ,"Kevin Franklin is an inner city Pittsburgh native; raised in an orphanage, he has delusions of grandeur, and talks about getting rich and driving a Porsche one day. Twenty-five years later, he drives a rusted MG Midget and all his ambitions revolve around a series of ill fated get-rich-quick schemes. A handshake loan of $5,000 from the loan sharks grows to $50,000 through interest and penalties, resulting in him trying to skip town at Pittsburgh International Airport.
He overhears a conversation between lawyer Gary Young and his children, who are waiting to pick up his childhood friend, Derek Bond, who is now a successful, strait-laced and vegetarian dentist. Upon hearing him say that he has not seen Bond in twenty five years and does not know what he looks like, Franklin gives his baseball cap to the real Bond to throw off the two dimwitted mobsters chasing him and poses as Bond to the Youngs, who take him to their posh home in Sewickley.
Although he knows nothing about dentistry, Franklin still manages to convince those around him that he is in fact Derek Bond, and his affable personality makes him popular with Young's otherwise stuffy and rich associates. Young has little time for his children and his wife who runs a chain of successful new frozen yogurt businesses, which gradually builds a gap between them, largely due to the demands of his bigoted, arrogant boss at the law firm where he works and their clients are a rival yogurt company that is Gary’s wife competition, this leads to Franklin developing a bond with Young's Goth daughter, helping her stand up to her cheating boyfriend; and his young son, who has aspirations of playing pro basketball. Young eventually stands up to his boss with Franklin's support and quits the firm to be with his family.
Meanwhile, the mob thugs threaten Franklin's best friend, Larry into revealing his whereabouts, and Franklin asks him to pick him up. After he does so reluctantly, he sparks an argument with him over his lack of appreciation of friendship, causing him to realize that Young has been his friend all along. He returns to the Youngs' house only to find that the mobsters have taken them hostage, and his true identity is revealed when the real Derek Bond finally shows up.
After the mobsters take Franklin away, he manages to escape, losing them in a charity marathon, where he meets up with Young, who graciously decides to help him despite his charade, in return for helping bring his family closer together. Franklin reveals that he has an instant lottery ticket he purchased the previous day for a chance at a $1 million cash prize spin on a Saturday night television show, which he reluctantly gives up to the mobsters in exchange for the forgiveness of his debt.
The film fast forwards to wintertime, Franklin parallel parks a shiny new red Porsche with Larry in tow, in front of the Youngs' house, appearing for a promotional party for his new best-seller book, Handbook for Houseguests, based on his experiences with them. The partygoers gather in front of the television to watch the mobsters spin the wheel for the jackpot.
It initially lands on the million dollar jackpot, but then falls and lands on $5,000, much to the mafia don's dismay and Franklin's delight. During the closing credits, Young and Franklin sing a medley of food based parodies of Christmas songs, as they cook a barbecue in Youngs' backyard outside of a Christmas party."
1995,Heavyweights ,"When school ends for the summer, Gerry Garner’s parents send him to Camp Hope, a weight loss camp for boys. Initially reluctant, Gerry meets enthusiastic camp counselor Pat, and befriends the other campers, who have smuggled in enough junk food for the entire summer. The first night at Camp Hope brings the revelation that the original owners, the Bushkins, have declared bankruptcy and the camp has been bought by fitness entrepreneur Tony Perkis Jr, who plans to transform the camp’s weight loss program into a best-selling infomercial.
Tony replaces the camp’s beloved activities, including go-karts and ”the Blob”, with a punishing exercise regimen. Pat is replaced by the strict new counselor Lars, and the campers endure a painful softball game against their more athletic, over-competitive rivals, Camp MVP. When Tony purges the cabins’ hidden food caches, camper Josh stands up for Gerry by taunting Tony, and is sent home without a refund, which prompts the other campers to theorize about what happened to Josh after this. Tony arranges a dance with Camp Magnolia, a girls’ summer camp, to humiliate the boys into losing weight, but counselors Tim, Pat, and camp nurse Julie convince everyone to enjoy themselves together. Josh returns to Camp Hope, revealing that his father, a lawyer, threatened to sue Tony for kicking his son out without a refund.
Gerry and his friends sneak into Tony’s office in search of their confiscated snacks, and learn that Tony has intercepted all the campers’ letters to their families, including the letter that Gerry wrote to his grandmother. They discover a secret food stash used by most of the camp, leading them to gain weight, and Tony forces the boys on a twenty-mile hike, preparing to endanger their lives for the sake of fitness. The boys trick Tony into falling into a pit, and imprison him at camp in a makeshift cell, electrified with a bug zapper. With Pat, Julie, and Tim on their side, the campers take back control of Camp Hope, tying up Lars in the woods with Tony’s other counselors, and celebrating with a binge eating bonfire party. Tony's counselors, who are foreign, ultimately side with the campers due to threats of deportation.
The next morning, Pat rallies the campers to take responsibility for themselves and start losing weight, and they all start a healthier regimen while making Camp Hope fun again. The boys’ parents arrive for visiting day and are shown a video documenting Tony’s cruelty, which is interrupted by Tony, having escaped his cell. Exchanging blows with Gerry’s father, he attempts a series of backflips but knocks himself out. As Tony is taken away, his own father (a Western Pennsylvania lamp store guru whose fortune Tony uses to buy and fund the camp) arrives and promises to refund everyone’s money, but announces that the camp will be closed. The boys ask for the camp to stay open, and Pat – with eighteen years’ experience and the support of Gerry and the others – agrees to assume responsibility for Camp Hope.
Under Pat’s leadership, the campers restore their favorite activities, and prepare to face Camp MVP in their annual competition. Camp MVP takes the lead in the first event, an obstacle course, but Camp Hope catches up in the second round, a test of knowledge. In the final go-kart race, Gerry wins the competition for Camp Hope. Demonstrating that having fun is more important than winning, Pat throws the trophy in the lake, and seals his romance with Julie with a kiss. As Camp Hope celebrates their victory, Gerry thanks Pat for the best summer of his life.
In a post-credits scene, Tony has become an unsuccessful door-to-door salesman selling healing crystals."
1994,Interview with the Vampire: The Vampire Chronicles ,"In modern-day San Francisco, reporter Daniel Molloy interviews Louis de Pointe du Lac, who claims to be a vampire. Louis describes his human life as a wealthy plantation owner in 1791 Spanish Louisiana. Despondent following the death of his wife and unborn child, he drunkenly wanders the waterfront of New Orleans one night and is attacked by the vampire Lestat de Lioncourt. Lestat senses Louis's dissatisfaction with life and offers to turn him into a vampire. Louis accepts, but quickly comes to regret it. While Lestat revels in the hunt and killing of humans, Louis resists his instinct to kill, instead drinking animal blood to sustain himself.
Eventually, amid an outbreak of plague in New Orleans, Louis feeds on a little girl whose mother died in the plague. To entice Louis to stay with him, Lestat turns the dying girl, Claudia, into a vampire. Together, they raise her as a daughter. Louis has a love for Claudia, while Lestat spoils and treats her more as a pupil, training her to become a merciless killer. Thirty years pass, and Claudia matures psychologically but remains a little girl in appearance and continues to be treated as such by Lestat. When she realizes that she will never grow older or become a mature woman, she is furious with Lestat and tells Louis that they should leave him. She tricks Lestat into drinking the ""dead blood"" of twin boys whom she killed by overdose with laudanum, which weakens Lestat, and then slits his throat. Though Louis is shocked and upset, he helps Claudia dump Lestat's body in a  swamp. They spend weeks planning a voyage to Europe to search for other vampires, but Lestat returns on the night of their departure, having survived on the blood of swamp creatures. Lestat attacks them, but Louis sets him on fire, allowing them to escape to their ship and depart.
After traveling around Europe and the Mediterranean but finding no other vampires, Louis and Claudia settle in Paris in September 1870. Louis encounters vampires Santiago and Armand by chance. Armand invites Louis and Claudia to his coven, the Théâtre des Vampires, where vampires stage theatrical horror shows for humans. On their way out of the theater, Santiago reads Louis's mind and suspects that Louis and Claudia murdered Lestat. Armand warns Louis to send Claudia away for her own safety, and Louis stays with Armand to learn about the meaning of being a vampire. Claudia demands that Louis turn a human woman, Madeleine, into a vampire to be her new protector and companion, and he reluctantly complies. Shortly thereafter, the Parisian vampires abduct the three of them and punish them for Lestat's murder, imprisoning Louis in a coffin and trapping Claudia and Madeleine in a chamber, where sunlight burns them to ash. Armand does nothing to prevent this, but the next day he frees Louis. Seeking revenge, Louis returns to the theater at dawn and sets it on fire, killing all the vampires including Santiago. Armand arrives in time to help Louis escape the sunrise, and again offers him a place by his side. Louis rejects Armand and leaves, unable to accept Armand's way of life which involve forgetting the past and knowing Armand had allowed Claudia's murder.
As decades pass, Louis never recovers from the loss of Claudia and dejectedly explores the world alone. He returns to New Orleans in 1988 and one night encounters a decayed, weakened Lestat, living as a recluse in an abandoned mansion and surviving on rat blood as Louis once had. Lestat expresses regret for having turned Claudia into a vampire and asks Louis to rejoin him, but Louis declines and leaves. Louis concludes his interview with Molloy, prompting Molloy to beseech Louis to make him his new vampire companion. Louis is outraged that Molloy has not understood the tale of suffering he has related, and attacks Molloy to scare him into abandoning the idea. Molloy runs to his car and takes off, while playing the cassette tapes of Louis' interview in his car. On the Golden Gate Bridge, Lestat appears and attacks Molloy, taking control of the car. Revived by Molloy's blood, Lestat offers Molloy the choice that he ""never had""—whether or not to become a vampire—and, laughing, continues driving."
1995,Jefferson in Paris ,"Set in the period 1784–1789, the film portrays Jefferson when he was US minister to France at Versailles before the French Revolution. French liberals and intellectuals hope he will lead them away from the corruption of the court of King Louis XVI and Marie-Antoinette and toward a more democratic form of government. Although deploring the poverty of the common people, he embraces the riches of French culture and civilization. It is his first time abroad, and he takes advantage of the opportunity to extend his knowledge of liberal arts and science while absorbing the refinements France has to offer.
A lonely widower, Jefferson develops a close friendship with Maria Cosway, a beautiful (and married) Anglo-Italian painter and musician. Although she becomes increasingly devoted to him, he is attached to his memory of his late wife, to whom he promised that he would not remarry, and to his two younger daughters. His elder daughter is especially possessive, and Patsy becomes jealous of Maria's influence on her father. Maria becomes his confidant and correspondent, with their personal relationship becoming more affectionate as well.
Later, Jefferson becomes attracted to Sally Hemings, his enslaved maid and companion of his younger daughter Polly. Three-quarters white in ancestry, she is his late wife's half-sister. Their father had taken Sally's slave mother as a concubine after he was widowed for the third time; Sally is the sixth of their children. Sally's enslaved brother James Hemings is also in Paris, learning to be a French chef for Jefferson at Monticello. When George Washington offers Jefferson the post of Secretary of State, he accepts and prepares to sail home with his family.
But James, having enjoyed his freedom in Paris, is unwilling to return to the United States and urges Sally to remain with him. It is only when Jefferson promises, making an oath upon the Bible, that he will give James and Sally their freedom that they consent to return with him. Sally is also pregnant with Jefferson's child, and Jefferson extends his oath to promise freedom to all of Sally's children as well."
1977,Star Wars: Episode IV - A New Hope ,"Amid a galactic civil war, Rebel Alliance spies have stolen plans  to the Galactic Empire's Death Star, a massive space station capable of destroying entire planets. Imperial Senator Princess Leia Organa of Alderaan, secretly one of the Rebellion's leaders, has obtained its schematics, but her starship is intercepted by an Imperial Star Destroyer under the command of the ruthless Darth Vader. Before she is captured, Leia hides the plans in the memory system of astromech droid R2-D2, who flees in an escape pod to the nearby desert planet Tatooine alongside his companion, protocol droid C-3PO.
The droids are captured by Jawa traders, who sell them to moisture farmers Owen and Beru Lars and their nephew Luke Skywalker. While Luke is cleaning R2-D2, he discovers a holographic recording of Leia requesting help from an Obi-Wan Kenobi. Later, after Luke finds R2-D2 missing, he is attacked by scavenging Sand People while searching for him, but is rescued by elderly hermit ""Old Ben"" Kenobi, an acquaintance of Luke's, who reveals that ""Obi-Wan"" is his true name. He tells Luke of his days as one of the Jedi Knights, the former peacekeepers of the Galactic Republic who drew mystical abilities from a metaphysical energy field known as ""the Force"", but were ultimately hunted to near-extinction by the Empire. Luke learns that his father fought alongside Obi-Wan as a Jedi Knight during the Clone Wars until Vader, Obi-Wan's former pupil, turned to the dark side of the Force and murdered him. Obi-Wan offers Luke his father's old lightsaber, the signature weapon of Jedi Knights.
R2-D2 plays Leia's full message, in which she begs Obi-Wan to take the Death Star plans to her home planet of Alderaan and give them to her father, a fellow veteran, for analysis. Although Luke initially declines Obi-Wan's offer to accompany him to Alderaan and learn the ways of the Force, he is left with no choice after discovering that Imperial stormtroopers have killed his aunt and uncle and destroyed their farm in their search for the droids. Traveling to a cantina in Mos Eisley to search for transport, Luke and Obi-Wan hire Han Solo, a smuggler with a price on his head due to his debt to local mobster Jabba the Hutt. Pursued by stormtroopers, Obi-Wan, Luke, R2-D2, and C-3PO flee Tatooine with Han and his Wookiee co-pilot Chewbacca on their ship the Millennium Falcon.
Before the Falcon can reach Alderaan, Death Star commander Grand Moff Tarkin destroys the planet in a show of force after interrogating Leia for the location of the Rebel Alliance's base. Upon arrival, the Falcon is captured by the Death Star's tractor beam, but the group evades capture by hiding in the ship's smuggling compartments. As Obi-Wan leaves to disable the tractor beam, Luke persuades Han and Chewbacca to help him rescue Leia after discovering that she is scheduled to be executed. After disabling the tractor beam, Obi-Wan sacrifices himself in a lightsaber duel against Vader, allowing the rest of the group to escape the Death Star with Leia. Using a tracking device, the Empire tracks the Falcon to the hidden Rebel base on Yavin IV.
The schematics reveal a hidden weakness in the Death Star's thermal exhaust port, which could allow the Rebels to trigger a chain reaction in its main reactor with a precise proton torpedo strike. While Han abandons the Rebels after collecting his reward for rescuing Leia, Luke joins their X-wing starfighter squadron in a desperate attack against the approaching Death Star. In the ensuing battle, the Rebels suffer heavy losses as Vader leads a squadron of TIE fighters against them. Han and Chewbacca unexpectedly return to aid them in the Falcon, and knock Vader's ship off course before he can shoot Luke down. Guided by the disembodied voice of Obi-Wan's spirit, Luke uses the Force to aim his torpedoes into the exhaust port, destroying the Death Star moments before it fires on the Rebel base. In a triumphant ceremony at the base, Leia awards Luke and Han medals for their heroism."
1994,Legends of the Fall ,"Sick of betrayals the United States government perpetrated on Native Americans, Colonel William Ludlow leaves the Army, moving to a remote part of Montana. Along with One Stab, a Cree friend, he builds a ranch and raises his family. Accompanying them are hired hand and former outlaw Decker, Decker's Cree wife Pet, and daughter Isabel Two. William has three sons: Alfred, the eldest; Tristan, the  middle son; and Samuel, the youngest.
William's wife Isabel does not adapt to the harsh Montana winters and moves to the East Coast; Tristan vows never to speak of her. At age 12, Tristan touches a sleeping grizzly bear. The bear awakens and injures him, but he cuts off a claw.
Years later, Samuel returns from Harvard University with his fiancée, Susannah. Susannah finds Tristan captivating but loves Samuel. Before they can marry, Samuel announces his intention to join the Canadian Expeditionary Force and aid Britain in the fight against Germany. Much to their father's displeasure, Alfred also joins. Although Tristan does not want to join, he does so after swearing to Susannah to protect Samuel.
The brothers find themselves in the 10th Battalion, CEF. Alfred, commissioned as an officer, leads a charge into no man's land. The attack results in heavy casualties and Alfred is wounded. While visiting Alfred in the field hospital, Tristan learns that Samuel volunteered for a dangerous reconnaissance mission. He rushes off to protect his brother but arrives too late. Tristan holds Samuel until he dies, then cuts out his brother's heart and sends it home to be buried at the ranch. Tristan single-handedly raids the German lines and returns to camp with the scalps of German soldiers hanging around his neck, horrifying his fellow soldiers. He is discharged but does not go home. Alfred returns to Montana and proposes to Susannah, but she declines.
Tristan returns home, where Susannah finds him weeping over Samuel's grave. She comforts him and they become lovers. A jealous Alfred confronts Tristan before leaving to make his name in Helena. Tristan is plagued with guilt over Samuel's death and feels responsible for driving Alfred away; he leaves Montana for several years. Susannah vows to wait for Tristan, but eventually receives a letter from him telling her to marry someone else. Alfred comforts Susannah, and William finds them together, which leads to a falling out between him and Alfred. William later suffers a stroke. He does not speak for years and the ranch deteriorates. Susannah marries Alfred, now a congressman. Alfred's business and politics cause him to get involved with the O'Banion brothers, Irish bootleggers and gangsters.
Tristan returns during Prohibition, bringing life back to the ranch and to his father. He falls in love with Isabel Two and they marry and have two children. Tristan becomes involved in small-scale rum-running, finding himself at odds with the O'Banion brothers. Isabel Two is accidentally killed by a police officer working for the O'Banions. In a fit of grief, Tristan beats the officer nearly to death and is jailed. Susannah visits Tristan, still having feelings for him, but he refuses her advances. After his release, Tristan and Decker kill those responsible for Isabel's death, including one of the O'Banion brothers.
Unable to live without Tristan, Susannah commits suicide. The remaining O'Banion brother, along with the sheriff and another police officer, come after Tristan. At the ranch, William and Alfred kill the attackers. Alfred reconciles with his father and brother. The family realizes that Tristan will be blamed for the deaths, which prompts Tristan to ask Alfred to take care of his children. One Stab's narration explains that they buried the bodies and dumped the car in the Missouri River. He reflects that rather than dying young as One Stab expected, Tristan lived to watch his children and grandchildren grow. One Stab observes that it was the people Tristan loved and wanted to protect most that died young.
In 1963, Tristan, now an old man living in the North Country, investigates an animal carcass and is confronted by a grizzly bear. He draws his knife and fights it. As they struggle, One Stab narrates, ""It was a good death."""
1995,Major Payne ,"Major Benson Winifred Payne, a battle hardened Marine, returns from a successful drug raid in South America to find out that he has been passed over for promotion. Payne receives an honorable discharge and tries to adjust to civilian life but ends up being arrested.  His former commander gets him out of jail and secures him a position back in the military.
Payne is sent to Madison Preparatory School in Virginia and is given command of the  ROTC students.  The cadets are a disorderly group of delinquents and outcasts who have placed last in the Virginia Military Games for eight straight years.  Payne immediately takes a hard stance with the cadets and asserts his authority.  He shaves the cadets bald and moves them out of their dorms and into a dilapidated barracks.  Payne's harsh punishments and lack of empathy for the cadets lead to friction with school counselor Emily Walburn, who tries to soften Payne's approach.
The cadets, encouraged by the rebellious Alex Stone, make several attempts to sabotage Payne and drive him out of the school.  Stone and the cadets hire a biker to assault Payne, in the aftermath Payne makes Stone the squad leader.  Things come to a head and Payne offers to quit if the cadets can steal him the Military Games trophy from Wellington Academy.  Payne tips off the Wellington cadets and they ambush the Madison cadets and beat them severely.  Stone confronts Payne and realizes that he wants to earn the trophy, Payne offers to train him to win it.  The cadets begin working hard and training for the Military Games.  They develop into a unified squad, and Payne tells them that they have graduated the program and are fit to compete in the games.
Before the games, Payne is asked to return to the Marines to fight in Bosnia.  He eagerly accepts the new posting but his deployment means he will miss the Military Games.  As Payne waits for a train to depart he daydreams about being in a family with Emily and Tiger.  The cadets don't want to participate in the Games without Payne, but Alex convinces them to do it.  At the games, the boys hold their own until Alex injures his ankle and is unable to participate in the final event. The Madison cadets angrily fight with the Wellington cadets. The fight is broken up, and the judges deliberate having Madison disqualified.
Payne refuses his new posting and commission and shows up at the last minute.  He smooths things over with the judges and tells Tiger to lead Madison in the final event, a drill competition. The group executes an unorthodox but entertaining routine which wins them the trophy. On the first day of the new school year Madison displays the Military Games trophy, along with another one won by Alex.  Payne resumes being an instructor, having married Emily and adopted Tiger. Stone resumes his role as a squad leader. Payne has softened a bit, attempting to befriend the new recruits. When a disrespectful blind cadet shows up with his service dog, Payne shaves both him and his dog bald with his field knife and laughs."
1995,Losing Isaiah ,"While craving her next hit, Khaila Richards (Halle Berry), an African-American crack cocaine addict, abandons her infant illegitimate son, Isaiah, in the dumpster. She promises to ""come back later"", but then passes out from the drugs. The next day, the infant narrowly escapes death in the garbage truck. Baby Isaiah is sent to the hospital, where they discover he is also addicted to crack through his mother's addiction. While caring for Isaiah, a social worker named Margaret Lewin (Jessica Lange) grows increasingly fond of him and eventually adopts him to live with her and her husband, Charles (David Strathairn) and daughter, Hannah. Meanwhile, Khaila is caught shoplifting and is sent to rehab, unaware Isaiah is alive.
Three years later, Khaila successfully completes her treatment and confesses to her case worker that she abandoned Isaiah in the alley. Unknown to Khaila, the case worker investigates and discovers Isaiah's adoption. They hire a lawyer, Kadar Lewis (Samuel L. Jackson) to contest the adoption. An ugly court battle ensues, with racial issues demonstrating inadequacies on both sides. The judge overturns the adoption, returning Isaiah to Khaila, much to the Lewins' horror and sadness.
Even after weeks pass, a distraught Isaiah does not consider Khaila his mother. Although he becomes increasingly withdrawn, he is also prone to violent public outbursts. Eventually, Khaila is desperate for Isaiah's happiness, and asks Margaret to step back in ""for a little while... until he can understand."" However, she insists she will also continue to be involved. The two mothers embrace each other, both proclaiming their equally strong motherly love for Isaiah. The two mothers then begin together playing building blocks with their beloved boy in a classroom."
